package_id,item_id,user__id,user__feedback,data__image,data__item_id,data__title,data__category_breadcrumbs,annotation__output,annotation__time,reference__output,feedback__output,test_group
486,72025,563,False,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",8.0,0 days 00:00:00.021488000,50.0,,high quality feedback
486,72025,573,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",60.0,0 days 00:00:11.848662000,50.0,50.0,high quality feedback
493,72657,526,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",300.0,0 days 00:00:03.421489000,50.0,50.0,high quality feedback
493,72657,531,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",300.0,0 days 00:00:04.185928000,50.0,50.0,high quality feedback
493,72657,623,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",10.0,0 days 00:00:42.810534000,50.0,50.0,high quality feedback
493,72657,776,False,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",1.0,0 days 00:00:07.171224000,50.0,,high quality feedback
493,72657,811,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",50.0,0 days 00:00:07.439068000,50.0,50.0,high quality feedback
489,72178,526,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",25.0,0 days 00:00:03.208870000,50.0,50.0,high quality feedback
489,72178,591,False,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",43.0,0 days 00:00:09.093566000,50.0,,high quality feedback
489,72178,615,False,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",22.0,0 days 00:00:06.191087000,50.0,,high quality feedback
489,72178,724,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",300.0,0 days 00:00:05.834088000,50.0,50.0,high quality feedback
489,72178,750,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",200.0,0 days 00:00:09.563373000,50.0,50.0,high quality feedback
